Weighted Pixel 0,Weighted Pixel 1,Weighted Pixel 2,Weighted Pixel 3,Weighted Pixel 4,Time
221.29342267852883,259.8027142742937,244.26452302913347,250.86051357308443,235.77882644495958,0.5
210.08640613044304,180.9952809976818,183.807726094355,203.32202951018112,195.7885572673391,1.0
194.48068476411257,169.6732514875007,200.32674851249934,179.64435183810528,193.8749633977821,1.5
218.51430341582613,218.7932762696573,203.28841085846756,170.66352066512118,172.74048879092783,2.0
185.61545218870992,198.6682396674394,210.87024439546389,231.83161392368905,205.01444982469766,2.5
180.0914179505043,183.08168712812483,185.05779929879074,220.0383376540318,205.73075796854835,3.0
203.61545218870992,209.4326162877013,193.13948642691557,200.58655253931454,214.2258925573586,3.5
173.27897285383114,199.83161392368905,192.72603896623013,203.49513458881026,191.6682396674394,4.0
198.26924203145165,191.28369185614935,200.03361865171357,200.28369185614935,209.1297556045361,4.5
193.62017119102813,191.9808311729841,209.74992679556425,200.90386304717748,193.74520779324604,5.0
190.254792206754,202.28369185614932,221.32202951018112,203.0,182.13948642691557,5.5
201.4326162877013,176.48569658417384,195.28841085846753,202.6826894921371,204.1105867775202,6.0
199.71630814385065,181.58655253931457,172.18755490332683,188.62017119102816,199.8894132224798,6.5
199.59628336169402,226.341198337197,210.43762810776258,229.68740849445527,216.93748169889108,7.0
209.08640613044304,196.5193152358874,203.49513458881026,190.88941322247985,180.00973082237948,7.5
209.36537898427417,195.4567969347785,207.28841085846753,207.8702443954639,221.0191688270159,8.0
158.0577992987907,169.88941322247982,193.91831287187517,223.72102714616886,195.41344746068543,8.5
197.8894132224798,174.3270413302424,195.73547697086653,193.58183353699638,217.4662349394149,9.0
212.0,194.46151593709666,176.94721252127056,201.62017119102813,220.97110035060462,9.5
196.44234711008082,221.9085820494957,216.84134474606856,201.8894132224798,186.91831287187517,10.0
180.40872845836722,191.84134474606856,208.4615159370967,212.09613695282252,201.19227390564504,10.5
197.4615159370967,175.0914179505043,186.1105867775202,207.14420542923378,213.19227390564504,11.0
208.2067237303427,193.91831287187517,197.7788264449596,201.75965761794367,217.33647933487882,11.5
196.29814168084704,205.30757968548346,178.26452302913344,186.84134474606856,200.28841085846756,12.0
210.82689492137087,198.13948642691557,203.0047190023182,185.6443518381053,209.38454781129008,12.5
200.38454781129005,176.8991440448593,191.76437662026188,197.26924203145165,202.68268949213706,13.0
180.02889964939536,177.05779929879074,216.29312986078574,208.40872845836722,210.2114427326609,13.5
175.2356233797381,179.04806847641126,181.7788264449596,178.60100236401226,186.3364793348788,14.0
213.3556481618947,181.27897285383114,190.0191688270159,188.07696812580662,202.26924203145165,14.5
197.04806847641126,184.02889964939536,199.01444982469766,223.79799527197548,213.11058677752018,15.0
242.1200247821566,200.0722491234884,201.14420542923378,206.90386304717748,222.75965761794373,15.5
201.08168712812483,177.94721252127053,191.60572136633047,196.9663813482864,209.39899763598777,16.0
188.7596576179437,198.97110035060462,194.50486541118977,205.17782408094735,194.58655253931454,16.5
211.64405902036225,180.13476742459736,196.81244509667317,199.5576528899192,189.85107556844804,17.0
187.77410744264142,195.59127154163275,182.29814168084704,191.3653789842742,198.97110035060462,17.5
181.52403423820564,167.83662574375035,192.03361865171357,205.9855501753023,200.62017119102813,18.0
191.07696812580662,180.8702443954639,194.33647933487882,194.5193152358874,215.19699290796325,18.5
202.8749633977821,189.96638134828643,186.66823966743942,180.298141680847,198.19227390564504,19.0
204.84134474606856,208.3173105078629,209.35092915957648,198.80772609435496,200.6826894921371,19.5
195.73075796854832,192.73075796854835,185.85579457076622,189.20672373034273,192.47596576179438,20.0
193.45679693477848,204.27396103376987,190.2356233797381,191.74520779324604,200.28841085846753,20.5
198.04806847641126,199.91831287187517,215.4951345888103,208.47596576179436,199.06251830110892,21.0
238.03833765403178,200.83662574375035,194.53848406290334,208.84134474606853,226.74520779324604,21.5
193.04334947409305,198.39899763598774,193.47596576179436,192.82217591905265,210.25951120907217,22.0
182.3173105078629,181.74520779324604,191.5384840629033,205.59127154163278,189.80772609435496,22.5
201.35092915957648,186.12503660221788,183.73075796854835,184.75965761794373,201.03361865171357,23.0
198.73075796854835,206.17310507862913,217.43261628770134,198.96638134828643,191.69713931683478,23.5
184.90386304717748,179.15393625161326,212.17782408094735,222.19227390564504,207.5721027146169,24.0
215.73075796854835,201.11058677752018,193.3317603325606,203.2211735550404,220.60572136633047,24.5
184.9761121706659,218.41816646300364,217.09613695282252,202.34621015725827,203.16337425624965,25.0
198.3364793348788,197.85579457076622,204.58655253931457,210.52875324052383,185.69242031451657,25.5
197.42789728538312,187.34621015725827,197.59127154163278,189.105867775202,209.52875324052383,26.0
213.36537898427417,194.52403423820562,178.552933887601,190.7596576179437,219.79799527197548,26.5
218.97110035060462,209.80300709203675,234.0094380046364,201.5482148852828,212.6682396674394,27.0
177.98083117298413,190.7788264449596,195.1297556045361,179.93276269657287,186.17782408094735,27.5
192.30286068316522,174.62990201340762,189.05278747872944,178.89914404485927,200.11530577983842,28.0
184.50958441350795,172.82217591905265,186.04806847641126,197.39899763598774,190.2211735550404,28.5
200.9663813482864,202.63462101572583,207.82689492137084,204.4423471100808,211.1297556045361,29.0
207.75464579788243,187.29814168084704,182.06251830110895,185.22589255735858,173.658801662803,29.5
199.8894132224798,191.87024439546389,207.36537898427417,220.44706611239903,210.42789728538312,30.0
178.38454781129005,175.26452302913344,204.27396103376987,200.49513458881026,171.58183353699636,30.5
194.8749633977821,200.57210271461688,194.25479220675396,180.26924203145165,176.02889964939538,31.0
226.43733529001952,195.16838607631092,200.73075796854835,208.447066112399,203.21645455272218,31.5
195.07696812580662,204.1297556045361,190.7788264449596,173.26452302913344,193.74992679556422,32.0
190.77882644495958,194.28369185614935,209.08168712812483,204.14420542923378,187.71158914153247,32.5
210.86051357308443,178.38955963135132,191.9902691776205,181.3414911549401,216.41816646300362,33.0
220.62017119102816,203.62990201340762,223.17782408094735,227.17310507862916,233.3989976359877,33.5
179.5384840629033,187.90386304717748,200.6537898427417,190.37982880897187,183.52403423820564,34.0
176.89914404485927,201.95665052590692,205.552933887601,215.4326162877013,194.15865525393144,34.5
209.4662349394149,187.66352066512118,182.63462101572583,185.73075796854835,190.5048654111897,35.0
210.73075796854835,210.37009798659236,182.67325148750066,213.1344746068543,203.0914179505043,35.5
199.92303187419336,194.0,190.93276269657287,209.78354544727782,193.36065998195596,36.0
205.2403423820563,208.52403423820564,207.2211735550404,208.0191688270159,190.9952809976818,36.5
178.807726094355,204.04806847641126,219.4806847641126,194.90386304717748,173.75965761794373,37.0
196.18755490332683,192.37982880897187,201.82689492137084,205.39427863366953,218.2114427326609,37.5
177.07696812580662,189.14420542923378,193.84134474606853,193.0961369528225,183.84134474606853,38.0
206.81716409899138,171.81745691673447,187.76437662026188,195.7788264449596,195.82217591905265,38.5
203.1153057798384,200.3173105078629,191.74520779324604,187.19227390564504,178.62990201340762,39.0
181.74520779324604,183.75965761794373,202.1297556045361,200.0,191.36537898427417,39.5
189.88941322247982,194.82689492137087,188.17310507862913,188.50958441350798,181.60100236401226,40.0
208.85579457076622,207.09613695282252,202.5384840629033,208.11058677752018,216.39899763598777,40.5
207.39899763598774,201.75965761794367,209.4615159370967,209.0961369528225,202.28369185614935,41.0
218.2739610337699,192.5482148852828,211.67295866975763,199.94721252127056,217.5576528899192,41.5
184.26924203145165,190.93276269657284,219.67295866975763,203.12503660221788,191.00000000000003,42.0
203.84134474606853,185.2356233797381,191.85579457076625,213.4615159370967,221.60572136633044,42.5
207.50958441350795,195.6443518381053,226.14892443155196,219.28369185614935,216.41344746068543,43.0
215.87968240010034,177.4184592807467,204.30757968548343,203.71158914153244,214.6826894921371,43.5
207.41816646300364,200.39427863366953,198.17782408094735,176.91831287187517,178.0914179505043,44.0
200.74992679556422,175.04334947409305,183.96638134828643,209.79799527197548,204.4423471100808,44.5
167.51931523588743,188.90386304717748,215.4662349394149,195.87024439546394,184.2403423820563,45.0
175.45679693477848,162.69713931683475,167.09613695282252,175.5193152358874,205.23061155967682,45.5
205.74992679556425,193.7596576179437,193.36537898427417,193.57210271461688,192.552933887601,46.0
195.22589255735858,172.67797048981888,183.52403423820562,197.8749633977821,196.69713931683475,46.5
217.447066112399,200.93748169889105,178.25007320443578,189.0,207.36537898427417,47.0
203.4615159370967,215.27396103376987,194.93276269657284,193.49513458881026,181.83662574375035,47.5
207.30757968548343,196.91831287187517,192.77882644495958,183.2067237303427,178.78855726733906,48.0
213.0383376540318,189.1203175998997,204.8605135730844,203.20672373034273,198.77410744264142,48.5
183.18755490332683,189.68268949213711,200.04806847641123,204.73075796854835,199.3509291595765,49.0
201.4278972853831,195.8749633977821,181.7741074426414,195.25479220675396,205.6682396674394,49.5
189.04806847641126,191.29814168084704,210.3556481618947,187.2020047280245,188.09613695282252,50.0
218.0047190023182,196.48569658417384,216.4951345888103,220.25479220675396,214.7596576179437,50.5
192.47596576179438,192.42789728538312,199.3173105078629,205.35092915957648,197.4278972853831,51.0
236.27396103376987,212.6490708404235,195.36537898427417,189.15393625161326,221.5576528899192,51.5
202.25951120907217,183.51931523588743,189.08168712812483,184.26924203145165,185.87024439546394,52.0
183.52875324052383,170.94721252127053,187.2258925573586,180.20672373034273,170.0914179505043,52.5
194.1250366022179,192.26452302913344,225.23061155967682,206.00973082237945,214.37009798659238,53.0
185.29814168084704,200.5576528899192,200.82689492137087,188.552933887601,191.7643766202619,53.5
193.74520779324604,200.17782408094735,184.2356233797381,183.84134474606853,188.0,54.0
203.2114427326609,201.4423471100808,203.87496339778212,190.6201711910281,175.85107556844804,54.5
205.41816646300364,186.96638134828643,171.7788264449596,158.93276269657284,179.90386304717748,55.0
207.38454781129008,203.12503660221788,202.65378984274173,184.39427863366956,187.4423471100808,55.5
196.98083117298413,198.5384840629033,213.8749633977821,216.85579457076622,219.74992679556422,56.0
189.3364793348788,182.13948642691557,192.65378984274173,184.26924203145165,179.60100236401226,56.5
231.341198337197,202.72603896623013,192.93748169889105,187.12503660221788,202.8702443954639,57.0
197.4615159370967,184.96638134828643,185.25479220675396,186.12503660221788,199.192273905645,57.5
202.6826894921371,195.4615159370967,178.58655253931457,174.0914179505043,199.17782408094735,58.0
182.87024439546394,200.66823966743942,204.12975560453611,185.18755490332683,184.14420542923378,58.5
214.5384840629033,217.08168712812486,202.74520779324604,196.87024439546394,212.76437662026194,59.0
197.95665052590692,178.04334947409305,185.30286068316522,189.36537898427417,191.3317603325606,59.5
201.81244509667317,193.3798288089719,191.22117355504042,196.71630814385065,191.87024439546389,60.0
186.19227390564504,173.9663813482864,178.64907084042352,195.86051357308443,189.3317603325606,60.5
194.7835454472778,170.8991440448593,180.60572136633047,179.95193152358874,182.75965761794373,61.0
190.35092915957648,176.78855726733906,199.49513458881026,204.20672373034273,199.15865525393144,61.5
208.7643766202619,208.20672373034273,202.80772609435496,206.49513458881026,194.72603896623013,62.0
203.24034238205627,183.0722491234884,206.02388782933411,186.70687013921423,208.95665052590692,62.5
202.5384840629033,206.85579457076622,213.9422007012093,186.91359386955696,203.74992679556422,63.0
172.14420542923375,175.79327626965727,184.28369185614935,198.19699290796322,168.58183353699638,63.5
198.32202951018112,178.88469422016158,181.97110035060464,173.8702443954639,185.9519315235887,64.0
188.9808311729841,198.55765288991918,196.95193152358874,196.745207793246,199.7643766202619,64.5
179.42789728538312,174.8894132224798,174.7741074426414,197.7979952719755,190.1105867775202,65.0
210.40371663830598,183.7885572673391,188.3653789842742,196.5576528899192,193.88469422016158,65.5
184.25479220675396,175.02889964939536,188.8894132224798,199.8749633977821,192.95193152358874,66.0
208.6729586697576,177.37510980665363,183.14420542923378,189.47596576179438,198.33176033256058,66.5
171.73075796854835,166.80300709203675,205.72102714616886,198.745207793246,185.0,67.0
192.08168712812483,182.49041558649208,185.37982880897184,196.1297556045361,188.91831287187517,67.5
183.5721027146169,184.90386304717748,187.7643766202619,174.91831287187517,177.84134474606856,68.0
200.92303187419336,197.23562337973812,206.08168712812483,199.15865525393144,192.6010023640123,68.5
195.06723730342713,179.98083117298413,183.03361865171357,178.85579457076625,185.06251830110892,69.0
181.7643766202619,172.3414911549401,212.9277508765116,205.47596576179438,188.49041558649208,69.5
202.2114427326609,192.0914179505043,206.63462101572583,218.6729586697576,189.38955963135135,70.0
182.54320306522152,173.79327626965727,166.71158914153247,177.2258925573586,168.72603896623013,70.5
180.04806847641126,172.60100236401226,182.254792206754,188.04806847641126,187.0480684764113,71.0
190.18755490332683,195.71630814385065,193.1250366022179,202.09613695282252,202.8749633977821,71.5
229.25479220675396,215.87496339778212,190.298141680847,196.75965761794373,224.81244509667317,72.0
203.39427863366956,206.31731050786289,209.97110035060462,198.15393625161323,214.16337425624965,72.5
188.17310507862913,206.25479220675396,217.4615159370967,211.2403423820563,187.8702443954639,73.0
202.0,195.99999999999997,194.60100236401226,208.5576528899192,207.84134474606853,73.5
194.59127154163278,178.25007320443578,181.2258925573586,167.5673837122987,182.36537898427417,74.0
189.09613695282252,186.85579457076622,192.62017119102813,190.84134474606856,187.58655253931457,74.5
172.07696812580664,183.06251830110892,205.14420542923378,210.49513458881026,187.22117355504042,75.0
203.3317603325606,207.63934001804404,185.7885572673391,197.35092915957648,202.8894132224798,75.5
166.37510980665365,208.56237189223742,201.79327626965727,183.36537898427414,164.90386304717748,76.0
201.94220070120926,185.04334947409308,192.77882644495958,195.39899763598774,185.83662574375035,76.5
193.27396103376987,167.71158914153244,162.12503660221788,177.62017119102816,188.26924203145165,77.0
172.91831287187517,164.88469422016158,194.28841085846756,207.2067237303427,203.70185831915296,77.5
205.30757968548346,188.48569658417384,208.27396103376987,202.41344746068543,190.51931523588746,78.0
180.87496339778212,162.50486541118974,167.6826894921371,178.0,185.93748169889108,78.5
185.80772609435496,177.13948642691557,207.28369185614935,246.341198337197,219.42789728538312,79.0
174.49041558649208,184.64907084042352,209.08168712812483,210.447066112399,186.33176033256058,79.5
219.0238878293341,196.32704133024237,210.0336186517136,213.01916882701587,196.59628336169405,80.0
211.82689492137087,211.09613695282252,199.95193152358874,193.22117355504042,198.90386304717748,80.5
166.40872845836722,169.80772609435496,190.2258925573586,187.18755490332683,192.37009798659238,81.0
204.6874084944553,177.4184592807467,213.595990543951,201.04334947409308,207.25479220675396,81.5
204.31731050786289,194.5384840629033,194.0961369528225,194.02889964939538,211.0191688270159,82.0
191.71630814385065,164.77410744264142,171.91831287187517,201.49513458881023,206.09613695282252,82.5
174.17310507862916,183.85579457076622,202.17782408094735,194.3173105078629,181.47596576179438,83.0
196.50958441350795,189.91831287187517,195.7643766202619,188.12503660221788,192.68268949213706,83.5
192.30757968548343,179.48569658417387,202.16337425624965,193.4615159370967,175.58183353699636,84.0
207.58655253931457,195.9808311729841,209.97110035060464,211.1875549033268,224.27396103376987,84.5
174.00973082237948,198.4326162877013,199.79327626965727,196.63462101572583,191.12975560453606,85.0
188.298141680847,185.6826894921371,189.47596576179438,198.33176033256058,211.21144273266094,85.5
220.74019597318474,203.7741074426414,194.8749633977821,176.15865525393147,171.45207793246027,86.0
193.39899763598774,184.42789728538312,186.360659981956,214.29312986078577,193.5193152358874,86.5
