Time,Photons Emitted,Dark Molecule,Active Molecule,Triplet Molecule,Bleached Molecule
0.5,238,100,0,0,0
1.0,185,1,0,99,0
1.5,198,1,0,99,0
2.0,161,1,0,99,0
2.5,202,1,0,99,0
3.0,207,1,0,99,0
3.5,222,1,0,99,0
4.0,195,1,0,99,0
4.5,215,1,0,99,0
5.0,192,1,0,99,0
5.5,175,1,0,99,0
6.0,203,1,0,99,0
6.5,201,1,0,99,0
7.0,219,1,0,99,0
7.5,167,1,0,99,0
8.0,228,1,0,99,0
8.5,197,1,0,99,0
9.0,230,1,0,99,0
9.5,227,1,0,99,0
10.0,182,1,0,99,0
10.5,205,1,0,99,0
11.0,217,1,0,99,0
11.5,224,1,0,99,0
12.0,206,1,0,99,0
12.5,217,1,0,99,0
13.0,203,1,0,99,0
13.5,221,1,0,99,0
14.0,193,1,0,99,0
14.5,201,1,0,99,0
15.0,212,1,0,99,0
15.5,218,1,0,99,0
16.0,214,1,0,99,0
16.5,193,1,0,99,0
17.0,177,1,0,99,0
17.5,205,1,0,99,0
18.0,203,1,0,99,0
18.5,229,1,0,99,0
19.0,202,1,0,99,0
19.5,201,1,0,99,0
20.0,192,1,0,99,0
20.5,206,1,0,99,0
21.0,197,1,0,99,0
21.5,225,1,0,99,0
22.0,222,1,0,99,0
22.5,186,1,0,99,0
23.0,205,1,0,99,0
23.5,189,1,0,99,0
24.0,209,1,0,99,0
24.5,226,1,0,99,0
25.0,213,1,0,99,0
25.5,173,1,0,98,1
26.0,220,1,0,98,1
26.5,229,1,0,98,1
27.0,216,1,0,98,1
27.5,193,1,0,98,1
28.0,209,1,0,98,1
28.5,188,1,0,98,1
29.0,217,1,0,98,1
29.5,157,1,0,98,1
30.0,209,1,0,98,1
30.5,160,1,0,98,1
31.0,170,1,0,98,1
31.5,191,1,0,98,1
32.0,202,1,0,98,1
32.5,182,1,0,98,1
33.0,228,1,0,98,1
33.5,238,1,0,98,1
34.0,184,1,0,98,1
34.5,194,1,0,98,1
35.0,184,1,0,98,1
35.5,195,1,0,98,1
36.0,184,1,0,98,1
36.5,181,1,0,98,1
37.0,169,1,0,98,1
37.5,229,1,0,98,1
38.0,184,1,0,98,1
38.5,189,1,0,98,1
39.0,168,1,0,98,1
39.5,192,1,0,98,1
40.0,177,1,0,97,2
40.5,221,1,0,97,2
41.0,198,1,0,97,2
41.5,222,1,0,97,2
42.0,191,1,0,97,2
42.5,227,1,0,97,2
43.0,218,1,0,97,2
43.5,215,1,0,97,2
44.0,170,1,0,97,2
44.5,200,1,0,97,2
45.0,189,1,0,97,2
45.5,223,1,0,97,2
46.0,187,1,0,97,2
46.5,194,1,0,97,2
47.0,208,1,0,97,2
47.5,172,1,0,97,2
48.0,168,1,0,97,2
48.5,191,1,0,97,2
49.0,203,1,0,97,2
49.5,209,1,0,97,2
50.0,190,1,0,97,2
50.5,210,1,0,97,2
51.0,196,1,0,97,2
51.5,226,1,0,97,2
52.0,180,1,0,97,2
52.5,162,1,0,97,2
53.0,225,1,0,97,2
53.5,197,1,0,97,2
54.0,188,1,0,97,2
54.5,163,1,0,97,2
55.0,178,1,0,97,2
55.5,183,1,0,97,2
56.0,228,1,0,97,2
56.5,175,1,0,97,2
57.0,197,1,0,97,2
57.5,203,1,0,97,2
58.0,206,1,0,97,2
58.5,187,1,0,97,2
59.0,218,1,0,97,2
59.5,188,1,0,97,2
60.0,186,1,0,97,2
60.5,186,1,0,97,2
61.0,178,1,0,97,2
61.5,199,1,0,97,2
62.0,186,1,0,97,2
62.5,218,1,0,97,2
63.0,212,1,0,97,2
63.5,157,1,0,97,2
64.0,185,1,0,97,2
64.5,205,1,0,97,2
65.0,189,1,0,97,2
65.5,185,1,0,97,2
66.0,192,1,0,97,2
66.5,195,1,0,97,2
67.0,185,1,0,97,2
67.5,184,1,0,97,2
68.0,178,1,0,97,2
68.5,188,1,0,97,2
69.0,183,1,0,97,2
69.5,185,1,0,97,2
70.0,174,1,0,97,2
70.5,160,1,0,97,2
71.0,188,1,0,97,2
71.5,207,1,0,97,2
72.0,231,1,0,97,2
72.5,224,1,0,97,2
73.0,182,1,0,97,2
73.5,208,1,0,97,2
74.0,183,1,0,97,2
74.5,186,1,0,97,2
75.0,185,1,0,97,2
75.5,204,1,0,97,2
76.0,163,1,0,97,2
76.5,176,1,0,97,2
77.0,187,1,0,97,2
77.5,211,1,0,97,2
78.0,181,1,0,97,2
78.5,188,1,0,97,2
