Time,Photons Emitted,Dark Molecule,Active Molecule,Triplet Molecule,Bleached Molecule
0.5,279,100,0,0,0
1.0,171,1,0,98,1
1.5,150,1,0,98,1
2.0,218,1,0,98,1
2.5,202,1,0,98,1
3.0,188,1,0,98,1
3.5,218,1,0,98,1
4.0,213,1,0,98,1
4.5,187,1,0,97,2
5.0,185,1,0,97,2
5.5,198,1,0,97,2
6.0,163,1,0,97,2
6.5,180,1,0,96,3
7.0,243,1,0,96,3
7.5,187,1,0,96,3
8.0,188,1,0,96,3
8.5,171,1,0,95,4
9.0,161,1,0,95,4
9.5,197,1,0,95,4
10.0,230,1,0,95,4
10.5,192,1,0,95,4
11.0,167,1,0,95,4
11.5,189,1,0,95,4
12.0,218,1,0,95,4
12.5,191,1,0,95,4
13.0,165,1,0,95,4
13.5,165,1,0,95,4
14.0,180,1,0,95,4
14.5,167,1,0,95,4
15.0,178,1,0,95,4
15.5,185,1,0,95,4
16.0,167,1,0,95,4
16.5,205,1,0,94,5
17.0,163,1,0,94,5
17.5,204,1,0,94,5
18.0,158,1,0,94,5
18.5,175,1,0,94,5
19.0,186,1,0,94,5
19.5,208,1,0,93,6
20.0,194,1,0,93,6
20.5,213,1,0,93,6
21.0,195,1,0,93,6
21.5,191,1,0,93,6
22.0,203,1,0,93,6
22.5,180,1,0,93,6
23.0,182,1,0,93,6
23.5,203,1,0,93,6
24.0,169,1,0,93,6
24.5,200,1,0,93,6
25.0,230,1,0,93,6
25.5,195,1,0,93,6
26.0,181,1,0,93,6
26.5,195,1,0,93,6
27.0,196,1,0,93,6
27.5,193,1,0,93,6
28.0,164,1,0,93,6
28.5,166,1,0,93,6
29.0,202,1,0,93,6
29.5,180,1,0,93,6
30.0,186,1,0,93,6
30.5,164,1,0,93,6
31.0,202,1,0,93,6
31.5,182,1,0,93,6
32.0,210,1,0,93,6
32.5,190,1,0,93,6
33.0,163,1,0,93,6
33.5,193,1,0,93,6
34.0,186,1,0,93,6
34.5,211,1,0,93,6
35.0,181,1,0,93,6
35.5,221,1,0,93,6
36.0,194,1,0,93,6
36.5,209,1,0,93,6
37.0,205,1,0,93,6
37.5,190,1,0,93,6
38.0,192,1,0,93,6
38.5,155,1,0,93,6
39.0,200,1,0,93,6
39.5,179,1,0,93,6
40.0,198,1,0,93,6
40.5,209,1,0,93,6
41.0,197,1,0,93,6
41.5,177,1,0,93,6
42.0,183,1,0,93,6
42.5,180,1,0,93,6
43.0,182,1,0,93,6
43.5,156,1,0,93,6
44.0,195,1,0,93,6
44.5,166,1,0,93,6
45.0,187,1,0,93,6
45.5,160,1,0,93,6
46.0,189,1,0,93,6
46.5,163,1,0,93,6
47.0,203,1,0,93,6
47.5,224,1,0,93,6
48.0,192,1,0,93,6
48.5,175,1,0,92,7
49.0,190,1,0,92,7
49.5,200,1,0,92,7
50.0,184,1,0,92,7
50.5,183,1,0,92,7
51.0,191,1,0,92,7
51.5,209,1,0,92,7
52.0,174,1,0,92,7
52.5,160,1,0,92,7
53.0,181,1,0,92,7
53.5,205,1,0,92,7
54.0,207,1,0,92,7
54.5,197,1,0,92,7
55.0,183,1,0,92,7
55.5,199,1,0,92,7
56.0,196,1,0,92,7
56.5,175,1,0,92,7
57.0,194,1,0,92,7
57.5,181,1,0,92,7
58.0,198,1,0,92,7
58.5,204,1,0,92,7
59.0,222,1,0,92,7
59.5,169,1,0,92,7
60.0,191,1,0,92,7
60.5,170,1,0,92,7
61.0,159,1,0,92,7
61.5,166,1,0,92,7
62.0,209,1,0,92,7
62.5,168,1,0,92,7
63.0,204,1,0,92,7
63.5,175,1,0,92,7
64.0,170,1,0,92,7
64.5,203,1,0,92,7
65.0,176,1,0,92,7
65.5,173,1,0,92,7
66.0,169,1,0,91,8
66.5,165,1,0,91,8
67.0,153,1,0,91,8
67.5,179,1,0,91,8
68.0,183,1,0,91,8
68.5,192,1,0,91,8
69.0,173,1,0,91,8
69.5,156,1,0,90,9
70.0,184,1,0,90,9
70.5,173,1,0,90,9
71.0,168,1,0,90,9
71.5,200,1,0,90,9
72.0,220,1,0,90,9
72.5,206,1,0,90,9
73.0,208,1,0,90,9
73.5,196,1,0,90,9
74.0,170,1,0,90,9
74.5,184,1,0,90,9
75.0,181,1,0,90,9
75.5,217,1,0,90,9
76.0,223,1,0,90,9
76.5,176,1,0,90,9
77.0,162,1,0,90,9
77.5,156,1,0,90,9
78.0,175,1,0,90,9
78.5,156,1,0,90,9
79.0,170,1,0,90,9
79.5,181,1,0,90,9
80.0,183,1,0,90,9
80.5,213,1,0,90,9
81.0,166,1,0,90,9
81.5,156,1,0,90,9
82.0,192,1,0,90,9
82.5,157,1,0,90,9
83.0,181,1,0,90,9
83.5,185,1,0,90,9
84.0,166,1,0,90,9
84.5,189,1,0,90,9
85.0,207,1,0,90,9
