Time,Photons Emitted,Dark Molecule,Active Molecule,Triplet Molecule,Bleached Molecule
0.5,258,100,0,0,0
1.0,213,1,0,99,0
1.5,166,1,0,99,0
2.0,164,1,0,99,0
2.5,245,1,0,99,0
3.0,234,1,0,99,0
3.5,199,1,0,99,0
4.0,210,1,0,99,0
4.5,196,1,0,99,0
5.0,199,1,0,99,0
5.5,203,1,0,99,0
6.0,203,1,0,99,0
6.5,191,1,0,99,0
7.0,240,1,0,99,0
7.5,192,1,0,99,0
8.0,202,1,0,99,0
8.5,238,1,0,99,0
9.0,182,1,0,99,0
9.5,204,1,0,99,0
10.0,203,1,0,99,0
10.5,214,1,0,99,0
11.0,210,1,0,99,0
11.5,197,1,0,99,0
12.0,187,1,0,99,0
12.5,172,1,0,99,0
13.0,196,1,0,99,0
13.5,200,1,0,99,0
14.0,174,1,0,99,0
14.5,183,1,0,99,0
15.0,233,1,0,99,0
15.5,205,1,0,99,0
16.0,193,1,0,99,0
16.5,212,1,0,99,0
17.0,204,1,0,99,0
17.5,192,1,0,99,0
18.0,209,1,0,99,0
18.5,185,1,0,99,0
19.0,173,1,0,99,0
19.5,195,1,0,99,0
20.0,190,1,0,99,0
20.5,190,1,0,99,0
21.0,208,1,0,99,0
21.5,209,1,0,99,0
22.0,186,1,0,99,0
22.5,214,1,0,99,0
23.0,180,1,0,99,0
23.5,195,1,0,99,0
24.0,226,1,0,99,0
24.5,201,1,0,99,0
25.0,196,1,0,99,0
25.5,221,1,0,99,0
26.0,178,1,0,99,0
26.5,186,1,0,99,0
27.0,186,1,0,99,0
27.5,172,1,0,99,0
28.0,167,1,0,99,0
28.5,202,1,0,99,0
29.0,200,1,0,99,0
29.5,193,1,0,99,0
30.0,226,1,0,99,0
30.5,207,1,0,99,0
31.0,179,1,0,99,0
31.5,214,1,0,98,1
32.0,162,1,0,98,1
32.5,207,1,0,98,1
33.0,165,1,0,98,1
33.5,224,1,0,98,1
34.0,188,1,0,98,1
34.5,224,1,0,98,1
35.0,187,1,0,98,1
35.5,229,1,0,98,1
36.0,222,1,0,98,1
36.5,215,1,0,98,1
37.0,193,1,0,98,1
37.5,200,1,0,98,1
38.0,195,1,0,98,1
38.5,198,1,0,98,1
39.0,191,1,0,98,1
39.5,200,1,0,98,1
40.0,192,1,0,98,1
40.5,207,1,0,98,1
41.0,211,1,0,98,1
41.5,189,1,0,98,1
42.0,199,1,0,98,1
42.5,216,1,0,98,1
43.0,215,1,0,98,1
43.5,198,1,0,98,1
44.0,172,1,0,98,1
44.5,219,1,0,98,1
45.0,190,1,0,98,1
45.5,166,1,0,98,1
46.0,195,1,0,98,1
46.5,202,1,0,98,1
47.0,189,1,0,98,1
47.5,200,1,0,98,1
48.0,184,1,0,98,1
48.5,204,1,0,98,1
49.0,206,1,0,98,1
49.5,197,1,0,97,2
50.0,178,1,0,97,2
50.5,222,1,0,97,2
51.0,209,1,0,97,2
51.5,179,1,0,97,2
52.0,183,1,0,97,2
52.5,181,1,0,97,2
53.0,193,1,0,97,2
53.5,183,1,0,97,2
54.0,184,1,0,97,2
54.5,193,1,0,97,2
55.0,151,1,0,97,2
55.5,179,1,0,97,2
56.0,214,1,0,97,2
56.5,183,1,0,97,2
57.0,183,1,0,96,3
57.5,182,1,0,96,3
58.0,166,1,0,96,3
58.5,179,1,0,96,3
59.0,191,1,0,96,3
59.5,190,1,0,96,3
60.0,201,1,0,96,3
60.5,203,1,0,96,3
61.0,179,1,0,96,3
61.5,205,1,0,96,3
62.0,213,1,0,96,3
62.5,171,1,0,96,3
63.0,172,1,0,96,3
63.5,212,1,0,96,3
64.0,168,1,0,96,3
64.5,195,1,0,96,3
65.0,207,1,0,96,3
65.5,201,1,0,96,3
66.0,204,1,0,96,3
66.5,189,1,0,96,3
67.0,197,1,0,96,3
67.5,202,1,0,96,3
68.0,170,1,0,96,3
68.5,199,1,0,96,3
69.0,176,1,0,96,3
69.5,205,1,0,96,3
70.0,232,1,0,96,3
70.5,185,1,0,96,3
71.0,189,1,0,96,3
71.5,204,1,0,96,3
72.0,192,1,0,96,3
72.5,188,1,0,96,3
73.0,216,1,0,96,3
73.5,213,1,0,96,3
74.0,159,1,0,96,3
74.5,191,1,0,96,3
75.0,217,1,0,96,3
75.5,201,1,0,96,3
76.0,184,1,0,96,3
76.5,200,1,0,96,3
77.0,180,1,0,96,3
77.5,208,1,0,96,3
78.0,204,1,0,96,3
78.5,178,1,0,96,3
79.0,263,1,0,96,3
79.5,216,1,0,96,3
80.0,220,1,0,96,3
80.5,191,1,0,96,3
81.0,181,1,0,96,3
81.5,192,1,0,96,3
82.0,188,1,0,96,3
82.5,208,1,0,96,3
83.0,194,1,0,96,3
83.5,184,1,0,96,3
84.0,196,1,0,96,3
84.5,205,1,0,96,3
85.0,196,1,0,96,3
85.5,195,1,0,96,3
86.0,176,1,0,96,3
86.5,230,1,0,96,3
