Time,Photons Emitted,Dark Molecule,Active Molecule,Triplet Molecule,Bleached Molecule
0.5,204,100,0,0,0
1.0,225,1,0,99,0
1.5,204,1,0,99,0
2.0,232,1,0,99,0
2.5,178,1,0,99,0
3.0,172,1,0,99,0
3.5,196,1,0,99,0
4.0,159,1,0,99,0
4.5,197,1,0,99,0
5.0,196,1,0,99,0
5.5,192,1,0,99,0
6.0,210,1,0,99,0
6.5,204,1,0,99,0
7.0,185,1,0,99,0
7.5,224,1,0,99,0
8.0,210,1,0,99,0
8.5,146,1,0,99,0
9.0,199,1,0,99,0
9.5,212,1,0,99,0
10.0,192,1,0,99,0
10.5,172,1,0,99,0
11.0,200,1,0,99,0
11.5,209,1,0,99,0
12.0,189,1,0,99,0
12.5,214,1,0,99,0
13.0,208,1,0,99,0
13.5,174,1,0,99,0
14.0,170,1,0,99,0
14.5,227,1,0,99,0
15.0,198,1,0,99,0
15.5,261,1,0,99,0
16.0,206,1,0,99,0
16.5,184,1,0,99,0
17.0,231,1,0,99,0
17.5,180,1,0,99,0
18.0,182,1,0,99,0
18.5,186,1,0,99,0
19.0,207,1,0,99,0
19.5,205,1,0,99,0
20.0,197,1,0,99,0
20.5,186,1,0,99,0
21.0,199,1,0,99,0
21.5,252,1,0,99,0
22.0,184,1,0,99,0
22.5,182,1,0,99,0
23.0,205,1,0,99,0
23.5,200,1,0,99,0
24.0,183,1,0,99,0
24.5,217,1,0,99,0
25.0,168,1,0,99,0
25.5,205,1,0,99,0
26.0,196,1,0,99,0
26.5,214,1,0,99,0
27.0,225,1,0,99,0
27.5,171,1,0,99,0
28.0,195,1,0,99,0
28.5,188,1,0,99,0
29.0,197,1,0,99,0
29.5,226,1,0,99,0
30.0,201,1,0,99,0
30.5,186,1,0,99,0
31.0,199,1,0,99,0
31.5,245,1,0,99,0
32.0,190,1,0,99,0
32.5,193,1,0,99,0
33.0,218,1,0,99,0
33.5,223,1,0,99,0
34.0,177,1,0,99,0
34.5,165,1,0,99,0
35.0,222,1,0,99,0
35.5,212,1,0,99,0
36.0,205,1,0,99,0
36.5,210,1,0,99,0
37.0,175,1,0,99,0
37.5,190,1,0,99,0
38.0,172,1,0,99,0
38.5,223,1,0,99,0
39.0,212,1,0,99,0
39.5,180,1,0,99,0
40.0,191,1,0,99,0
40.5,206,1,0,99,0
41.0,212,1,0,99,0
41.5,227,1,0,99,0
42.0,183,1,0,99,0
42.5,204,1,0,99,0
43.0,211,1,0,99,0
43.5,230,1,0,99,0
44.0,219,1,0,99,0
44.5,209,1,0,99,0
45.0,158,1,0,99,0
45.5,168,1,0,99,0
46.0,214,1,0,99,0
46.5,203,1,0,99,0
47.0,223,1,0,99,0
47.5,206,1,0,99,0
48.0,220,1,0,99,0
48.5,227,1,0,99,0
49.0,177,1,0,99,0
49.5,200,1,0,99,0
50.0,190,1,0,99,0
50.5,228,1,0,98,1
51.0,192,1,0,98,1
51.5,245,1,0,98,1
52.0,214,1,0,98,1
52.5,194,1,0,98,1
53.0,190,1,0,98,1
53.5,178,1,0,98,1
54.0,192,1,0,98,1
54.5,214,1,0,98,1
55.0,217,1,0,98,1
55.5,215,1,0,98,1
56.0,190,1,0,98,1
56.5,196,1,0,98,1
57.0,248,1,0,98,1
57.5,200,1,0,98,1
58.0,203,1,0,98,1
58.5,177,1,0,98,1
59.0,212,1,0,98,1
59.5,207,1,0,98,1
60.0,208,1,0,98,1
60.5,190,1,0,98,1
61.0,207,1,0,97,2
61.5,194,1,0,97,2
62.0,214,1,0,97,2
62.5,208,1,0,97,2
63.0,200,1,0,97,2
63.5,175,1,0,97,2
64.0,208,1,0,97,2
64.5,182,1,0,97,2
65.0,178,1,0,97,2
65.5,225,1,0,97,2
66.0,186,1,0,97,2
66.5,222,1,0,97,2
67.0,173,1,0,97,2
67.5,197,1,0,97,2
68.0,185,1,0,97,2
68.5,206,1,0,97,2
69.0,203,1,0,97,2
69.5,187,1,0,97,2
70.0,213,1,0,97,2
70.5,190,1,0,97,2
71.0,181,1,0,97,2
71.5,184,1,0,97,2
72.0,231,1,0,97,2
72.5,198,1,0,96,3
73.0,185,1,0,96,3
73.5,202,1,0,96,3
74.0,203,1,0,96,3
74.5,191,1,0,96,3
75.0,167,1,0,96,3
75.5,200,1,0,96,3
76.0,154,1,0,96,3
76.5,214,1,0,96,3
77.0,202,1,0,96,3
77.5,168,1,0,96,3
78.0,218,1,0,96,3
78.5,185,1,0,96,3
79.0,182,1,0,96,3
79.5,171,1,0,96,3
80.0,236,1,0,96,3
80.5,215,1,0,96,3
81.0,158,1,0,96,3
81.5,215,1,0,96,3
82.0,204,1,0,96,3
82.5,196,1,0,96,3
83.0,171,1,0,96,3
83.5,200,1,0,96,3
84.0,205,1,0,96,3
84.5,206,1,0,96,3
85.0,161,1,0,96,3
85.5,181,1,0,96,3
86.0,242,1,0,96,3
86.5,198,1,0,96,3
87.0,213,1,0,96,3
87.5,185,1,0,96,3
88.0,192,1,0,96,3
88.5,193,1,0,96,3
89.0,183,1,0,96,3
89.5,176,1,0,96,3
90.0,167,1,0,96,3
90.5,188,1,0,96,3
91.0,170,1,0,96,3
91.5,215,1,0,96,3
92.0,209,1,0,96,3
92.5,222,1,0,96,3
93.0,217,1,0,96,3
93.5,165,1,0,96,3
94.0,191,1,0,96,3
94.5,190,1,0,96,3
95.0,170,1,0,96,3
95.5,217,1,0,96,3
96.0,189,1,0,96,3
96.5,175,1,0,96,3
97.0,205,1,0,96,3
97.5,171,1,0,96,3
98.0,206,1,0,96,3
98.5,233,1,0,96,3
99.0,223,1,0,95,4
99.5,198,1,0,95,4
100.0,198,1,0,95,4
100.5,184,1,0,95,4
101.0,201,1,0,95,4
101.5,210,1,0,95,4
102.0,192,1,0,95,4
102.5,195,1,0,95,4
103.0,182,1,0,95,4
103.5,190,1,0,95,4
104.0,200,1,0,95,4
104.5,202,1,0,95,4
105.0,191,1,0,95,4
105.5,202,1,0,95,4
106.0,173,1,0,95,4
106.5,210,1,0,95,4
107.0,172,1,0,95,4
107.5,155,1,0,95,4
108.0,231,1,0,95,4
108.5,191,1,0,95,4
109.0,220,1,0,95,4
109.5,199,1,0,95,4
110.0,198,1,0,95,4
110.5,191,1,0,95,4
111.0,208,1,0,95,4
111.5,158,1,0,95,4
112.0,177,1,0,95,4
