Time,Correlation 2-0,Correlation 2-1,Correlation 2-3,Correlation 2-4
1.0,,,,
1.5,-1.0,1.0,1.0,1.0
2.0,0.2536747439545307,0.7914945287505827,0.850975796181677,0.934689883353357
2.5,-0.022356458972002103,0.7345512730160623,0.5596324193421244,0.7097314608047965
3.0,-0.03977638136291712,0.7122971679368446,0.5597257347303166,0.6462073803069315
3.5,0.12778817884646915,0.7384253066237915,0.49078491363918936,0.6690855884491609
4.0,0.062498342536842375,0.7322840638463033,0.49806763390363845,0.5995207356565911
4.5,0.14905799588765475,0.7169558048127619,0.4954055315151921,0.6210247815795471
5.0,0.14027767941729793,0.7168759393718802,0.49943173264389423,0.560081640758133
5.5,0.1363244464437582,0.7262508160405068,0.5047572391440682,0.5235090658239128
6.0,0.06322059838045421,0.7365070662216199,0.46428056499215986,0.3454148366461442
6.5,0.06114782455883968,0.6831794356402917,0.4744534831222553,0.34008657216016575
7.0,0.06537969035885839,0.7487018165314524,0.5942221929994804,0.41726931607238654
7.5,0.05666694078701198,0.7394987053491537,0.5723160035168976,0.3966994902257961
8.0,0.05774472962798978,0.7392828569397386,0.5740965384176849,0.3824758701016468
8.5,0.11725353322170923,0.7436144925104118,0.5407979262927306,0.397722234829448
9.0,0.12906832042893954,0.7444812537522117,0.508478408310146,0.3982970564250456
9.5,0.09779008897669648,0.6835577262786098,0.4807197469182459,0.38391846331290336
10.0,0.021345956565820775,0.702796710866775,0.44569049288027757,0.19294527839740105
10.5,0.031213855217779543,0.6995428663902827,0.43409850346386386,0.17921829921554178
11.0,-0.0076256052197987085,0.7021959073254368,0.4306472205285401,0.14872301483468253
11.5,0.008718208232678777,0.7088108493909233,0.42231967626621547,0.15387427142124327
12.0,0.02683391339656428,0.6776784311503065,0.432340289832807,0.17474039855564605
12.5,0.06404065721813205,0.6463910157109457,0.42187165766126383,0.1930742267615508
13.0,0.07192051005773578,0.6497589030658646,0.4060497004741971,0.1965770193837132
13.5,0.024723254987536646,0.6372770910904487,0.41924468812289273,0.20963843959486214
14.0,0.03239339648580982,0.5997500674524183,0.4581492717515207,0.2553589586046533
14.5,0.06194631875031686,0.6003478772806743,0.46307080210409574,0.26528259587454456
15.0,0.04798175271802277,0.6010637281652146,0.46725452360422043,0.2724919841348467
15.5,0.056151658637045576,0.5994088251505993,0.45926751122101606,0.2740702937819716
16.0,0.0751052955512543,0.6015728694489453,0.4617554750166567,0.27941227431891363
16.5,0.07124723199863874,0.5990320237319818,0.46302557418633217,0.27240537200475473
17.0,0.07593744322387296,0.5904890659907238,0.46144174201847105,0.27115924198699354
17.5,0.09364029498730349,0.5685300852441297,0.4637958442146128,0.25839382237736924
18.0,0.08933130645676791,0.5394933379375197,0.4702045469764175,0.25940791193829754
18.5,0.09152817792174811,0.5394916851009632,0.46593754111781355,0.2611781774952867
19.0,0.086078413308221,0.5330784162954447,0.46819196850080297,0.26558076868135894
19.5,0.0879913123696348,0.5448059090437539,0.4843837038997405,0.26613496852900964
20.0,0.09804563646121668,0.5507577456510165,0.48689262154526153,0.272477187420655
20.5,0.09736184261498732,0.5521593548801842,0.4876025823789581,0.2749690102988052
21.0,0.10334592666724457,0.5356761439019687,0.5012464813219372,0.2682954751318223
21.5,0.05238290731139875,0.5264306459095583,0.4933137915354351,0.2203362505931654
22.0,0.049556881646751254,0.5264110155967067,0.48999512755317887,0.21824260442564197
22.5,0.049840640256919054,0.5242414219891088,0.48657434478739614,0.2163463054340684
23.0,0.04249135016534221,0.5209881624801584,0.4881727197509544,0.20993965493452563
23.5,0.03717344657549522,0.5352988961542712,0.4983721671002621,0.18405514045517843
24.0,0.0401144186102333,0.5331622212320238,0.483927072286959,0.17759489026388275
24.5,0.011089484656807341,0.5014180878662073,0.493158681272946,0.160402849205364
25.0,-0.02485121024864492,0.5111922275428872,0.4851607152949686,0.13197196225143698
25.5,-0.03247666799084331,0.5161437728723883,0.4765088047062776,0.14171043524852436
26.0,-0.03231437277379177,0.5173798385945398,0.4774666600842549,0.130439029376815
26.5,-0.045459383067841516,0.5050471984605989,0.47061311886780616,0.11816080135376258
27.0,-0.028233514245988404,0.5045449237241119,0.4662445796435553,0.08959824870762283
